82,75,84,80,77,88,80,84,77,77,78,84,75,84,80,83,77,84,88,81,79,85,82,72,79,81,80,84,82,81,82,77,83,81,77,77,84,82,86,79,86,90,80,83,91,89,79,85,85,79,89,86,86,85,87,84,90,90,83,83,95,85,79,82,84,82,86,91,88,84,89,78,85,96,77,92,91,93,81,91,93,94,81,83,87,79,86,90,94,90,95,90,90,97,82,84,87,80,91,97,91,97,91,95,89,89,87,82,89,87,84,89,85,96,95,87,91,90,92,88,90,91,90,92,96,94,92,91,87,88,92,96,97,97,93,94,87,97,93,89,91,92,91,93,96,88,89,93,93,89,94,93,93,91,93,95,88,87,96,96,94,83,90,92,93,93,95,93,94,98,96,91,95,92,97,89,96,95,98,95,96,99,93,90,95,97,97,95,93,93,98,96,99,96,98,85,95,91,94,94,96,95,94,96,89,93,100,93,98,99,98,98,99,97,95,98,96,97,95,97,90,89,95,95,97,97,96,93,95,98,97,96,96,96,96,96,98,97,95,94,98,98,93,97,97,98,95,99,100,97,93,94,96,97,95,99,98,97,95,94,100,92,91,97,95,98,96,96,93,96,94,96,99,98,94,98,98,99,99,98,98,97,90,92,97,96,97,94,94,92,96,95,98,97,92,95,95,97,98,96,98,92,93,96,98,99,98,96,98,94,92,95,97,92,95,95,95,95,92,96,97,96,95,90,96,97,97,100,97,96,97,98,97,98,97,99,100,98,95,100,97,97,99,97,99,95,96,99,99,98,98,98,98,97,95,97,97,96,96,99,97,95,97,95,98,100,99,99,100,97,98,95,95,95,96,96,97,97,98,95,95,98,96,94,97,98,99,100,99,97,99,95,100,96,99,99,97,99,96,95,100,98,98,97,99,98,97,98,94,94,97,97,96,99,98,99,98,99,95,94,99,97,98,99,100,96,99,97,100,99,98,96,96,97,96,100,99,98,98,98,98,99,98,98,96,95,94,99,98,96,96,96,98,97,100,100,97,96,98,97,98,98,98,99,98,99,93,97,97,95,99,97,98,98,99,97,96,98,100,97,100,93,93,94,91,98,94,99,95,100,98,97,98,93,99,100,98,96,93,99
82,69,78,83,78,77,84,81,80,79,84,85,82,78,85,82,76,78,82,82,83,79,81,78,83,82,75,76,76,79,83,79,84,78,87,86,83,81,79,84,84,80,83,86,84,82,89,85,89,91,86,92,95,81,86,96,83,81,85,92,84,82,93,93,91,87,92,84,88,92,94,86,95,97,86,94,94,86,87,90,97,92,98,96,93,92,96,96,92,95,96,94,91,93,91,93,88,91,94,89,94,93,93,95,97,92,96,95,94,93,82,87,94,89,91,95,93,96,93,92,92,93,94,100,96,91,96,95,95,96,99,94,90,95,88,93,97,93,100,96,97,98,98,97,98,91,94,95,96,88,97,95,97,94,99,93,95,96,88,98,97,99,97,93,97,97,92,92,93,96,94,91,96,98,97,90,90,96,94,90,94,98,93,95,92,94,98,95,96,97,93,100,98,97,97,97,99,97,94,94,92,97,96,92,88,96,95,99,97,96,91,94,98,96,97,97,93,99,95,98,97,96,94,93,92,95,96,96,97,95,96,94,99,96,95,96,91,97,95,95,98,91,91,98,97,96,95,95,95,97,95,95,93,99,99,97,92,98,95,93,99,93,98,99,95,95,98,95,97,93,89,95,97,97,97,94,98,96,98,100,94,94,96,95,97,97,96,98,96,98,93,94,95,91,99,96,95,97,96,91,93,96,94,96,95,98,97,93,96,100,99,95,95,94,97,96,97,96,95,98,89,98,100,97,99,98,98,97,99,98,100,99,98,92,92,98,96,97,100,97,99,97,96,94,97,98,90,94,99,98,96,94,99,97,92,94,97,99,100,98,99,97,94,98,87,94,96,96,94,98,95,99,97,95,99,94,98,97,96,91,97,97,97,98,98,98,98,100,100,96,96,97,97,97,99,98,95,98,97,98,97,99,100,99,97,97,93,98,98,98,99,97,97,99,99,99,95,99,99,99,95,98,99,99,96,93,95,99,96,96,96,99,99,94,97,100,98,99,96,97,99,98,100,99,98,98,99,97,96,99,97,100,99,99,97,98,99,100,99,100,88,95,96,98,96,99,95,98,99,97,97,96,100,100,100,99,97,100,100,91,96,98,99,98,97,99,94,93,100,100,99,96,98,100,95,97,100,96,96,99
84,84,80,80,77,74,79,82,74,87,89,80,83,83,78,82,82,80,82,87,89,85,84,78,83,84,85,85,97,85,84,93,92,89,91,92,92,92,92,97,90,92,89,94,93,93,91,84,84,95,92,85,89,94,88,91,94,88,93,96,97,95,88,97,95,92,89,94,93,96,92,94,92,95,90,96,95,97,92,95,100,94,96,99,100,96,93,91,93,98,97,96,95,94,99,99,99,99,95,93,86,96,97,98,98,96,99,95,94,96,97,98,99,97,97,99,95,94,97,99,94,95,95,98,97,96,95,98,97,98,99,98,96,96,99,99,98,97,98,96,97,99,98,97,93,100,96,97,97,97,96,98,94,100,93,99,96,100,95,93,97,99,99,99,97,99,98,100,98,95,95,94,97,98,97,97,98,97,94,94,98,98,91,98,94,99,97,96,99,96,98,97,93,96,96,98,98,96,96,100,99,90,98,99,99,96,98,99,95,96,96,95,97,97,100,100,99,99,98,95,98,99,99,96,98,99,98,97,97,99,100,97,98,99,96,98,97,97,98,97,96,95,95,100,98,94,97,99,98,98,97,98,96,100,97,98,100,98,98,97,97,98,97,96,97,98,97,99,98,97,96,96,98,98,95,98,99,94,98,98,100,97,95,100,100,97,96,97,92,97,98,93,98,98,99,99,99,95,97,99,96,99,98,93,99,98,100,99,94,98,98,99,99,98,95,94,96,91,94,99,99,98,100,100,96,98,98,99,96,99,97,98,99,99,97,97,95,99,99,100,99,100,89,96,95,97,98,97,97,98,100,97,100,98,100,98,100,99,99,98,100,99,97,99,98,98,95,98,97,98,98,100,99,98,99,99,95,99,96,99,98,98,97,98,97,96,98,97,98,100,99,99,98,98,98,96,100,99,100,99,100,98,100,98,96,98,98,99,98,97,100,99,96,99,99,100,98,100,100,97,100,97,100,99,99,96,98,99,100,99,98,100,99,98,97,99,96,97,98,96,99,99,100,98,98,98,99,99,99,99,98,99,98,98,97,96,100,100,100,99,98,100,99,100,97,95,100,98,98,99,100,98,99,97,98,99,98,97,99,99,100,99,100,99,100,99,100,100,100,97,99,100,99,94,97,98,100,100,98,100
77,79,78,90,83,83,84,83,81,71,78,75,85,88,73,78,78,85,87,82,79,88,95,91,84,84,95,86,89,93,94,92,97,95,95,99,96,93,94,96,95,95,86,96,94,97,93,93,95,94,97,94,98,96,94,98,97,93,100,97,96,97,87,95,98,98,98,93,98,99,97,93,96,92,92,96,95,97,94,97,98,98,94,98,96,96,98,94,99,94,98,94,96,98,96,95,98,98,93,96,94,98,95,97,98,97,98,97,91,96,95,98,97,94,94,94,95,99,99,95,96,99,96,100,96,97,99,95,98,99,98,98,98,99,94,98,97,98,99,97,96,99,96,99,96,97,96,99,99,96,99,99,96,95,99,100,97,92,96,98,97,98,98,99,100,99,95,97,98,98,95,100,98,98,98,100,100,97,98,99,99,100,99,97,99,100,96,98,99,99,100,98,100,96,93,97,96,97,97,95,99,98,96,98,98,97,93,97,96,93,99,93,96,98,100,96,100,99,99,96,99,97,100,99,98,97,96,98,96,96,100,87,100,98,94,100,97,96,99,96,98,100,100,97,94,97,97,100,96,97,99,98,98,98,100,99,98,98,96,94,96,98,99,100,98,99,100,96,97,100,99,100,99,100,96,95,100,96,99,99,99,100,100,100,100,96,99,99,95,88,97,97,96,98,97,100,98,95,94,99,100,96,99,96,96,99,99,99,97,96,99,97,100,99,100,100,99,97,99,97,97,100,98,100,98,99,95,100,99,99,98,96,96,98,98,99,98,99,98,98,99,99,100,100,95,100,98,97,96,98,98,98,100,100,100,99,99,99,100,100,97,100,98,97,100,99,100,99,97,99,98,100,100,100,99,99,99,98,99,95,98,98,100,98,99,97,97,98,98,96,99,97,100,99,98,99,100,98,97,99,97,98,99,96,99,98,96,99,100,98,98,98,92,98,95,98,99,97,96,99,99,98,99,100,100,97,98,97,100,94,98,97,98,99,99,96,100,98,99,98,99,99,95,99,99,99,98,94,95,99,99,99,98,100,97,100,99,100,99,98,93,98,98,99,98,97,97,99,99,99,100,98,100,100,97,98,100,100,99,99,99,99,99,100,99,100,96,100,98,97,98,100,100,99,100,100,97,93,99,99
79,75,85,75,85,82,79,78,81,79,83,78,87,78,82,81,83,79,75,84,80,81,84,84,75,78,88,80,81,87,78,82,82,86,79,86,90,83,81,90,90,88,91,84,86,95,94,95,85,83,83,95,93,89,86,95,97,93,94,89,94,89,92,88,96,96,97,97,93,92,88,96,99,97,95,97,93,95,94,94,94,94,95,97,96,92,100,93,93,98,97,93,98,98,97,96,97,100,93,93,96,97,97,97,96,98,99,96,94,96,98,90,99,92,97,93,96,97,88,92,95,94,86,99,96,93,91,93,91,94,93,99,97,99,99,94,99,98,97,100,95,96,100,97,98,97,95,99,94,99,95,97,99,99,95,95,100,95,96,97,98,97,98,98,97,99,97,98,91,99,97,97,98,97,96,96,95,99,97,89,97,95,96,98,96,96,90,95,91,97,100,96,99,97,95,95,99,96,96,98,97,94,98,98,97,99,96,98,98,98,96,96,95,96,95,98,93,100,97,98,95,98,97,96,100,95,98,95,99,99,97,96,94,95,99,96,99,96,98,93,92,98,97,98,98,97,96,99,96,98,98,96,99,96,98,100,97,97,99,98,97,98,99,95,100,100,98,95,97,97,97,96,92,97,100,98,98,99,98,96,98,98,98,98,96,98,98,98,100,100,97,96,94,98,96,100,97,99,97,98,96,96,97,99,98,95,97,96,95,96,98,99,97,97,96,98,99,95,97,99,98,97,99,97,100,95,94,94,99,98,95,98,98,98,96,97,100,98,99,97,99,97,99,99,98,96,97,94,99,91,96,91,96,100,99,96,95,95,100,99,92,100,97,98,95,100,96,97,99,100,100,99,98,99,98,100,100,98,97,97,99,97,98,98,99,100,98,99,96,99,97,100,97,97,96,98,97,98,97,99,99,96,100,97,98,97,100,98,99,99,95,95,98,93,96,95,98,99,99,99,98,97,98,99,97,100,100,99,96,98,97,99,100,98,99,99,98,99,99,99,96,99,97,99,100,98,99,99,99,96,97,100,98,99,98,99,99,98,100,99,98,99,97,99,100,99,98,98,99,98,100,97,97,99,100,98,99,100,98,99,99,99,96,94,99,100,98,99,96,100,100,98,98,99,100,98,98,97,96,92
85,82,77,81,78,76,76,84,80,81,83,77,80,73,85,69,83,72,83,86,84,83,84,89,89,80,81,86,93,90,92,88,97,87,91,89,89,88,91,89,98,99,97,98,96,95,97,95,94,93,97,98,94,99,89,95,99,96,99,87,96,98,98,99,99,98,97,97,93,96,99,99,98,99,98,96,98,98,97,99,97,100,95,99,98,97,97,93,96,98,97,99,100,98,99,99,98,98,99,98,100,96,94,97,89,99,94,98,97,99,98,100,94,100,97,98,99,99,98,99,99,98,99,99,95,99,97,97,96,94,99,99,99,92,100,99,100,94,99,98,96,98,100,98,95,95,90,100,99,100,98,100,96,99,99,97,100,99,99,98,96,98,100,92,100,99,90,99,100,98,100,99,99,98,97,94,99,100,100,98,97,96,98,96,98,98,97,97,97,100,99,96,96,98,100,100,100,99,96,98,99,97,99,100,97,99,95,95,98,98,99,98,94,99,97,100,98,99,99,95,100,98,99,98,97,98,98,94,99,96,97,99,99,97,97,100,98,98,96,98,96,98,95,95,97,98,95,99,99,93,95,96,100,100,98,95,94,98,97,100,100,97,96,99,95,97,99,98,100,98,99,100,99,99,92,92,95,99,100,99,100,99,96,95,99,99,99,99,99,100,99,92,97,98,99,97,98,98,99,98,100,99,99,99,99,100,98,99,83,94,96,97,98,99,99,99,95,98,98,99,92,94,94,94,96,99,94,99,99,100,95,96,97,99,100,100,96,99,95,100,99,100,99,100,97,96,98,99,99,100,98,95,96,100,98,96,97,100,99,98,97,98,100,98,97,99,97,99,100,99,97,100,99,98,100,97,99,99,98,100,96,97,100,99,100,96,93,99,95,100,100,98,97,97,96,96,100,100,99,100,96,95,98,98,100,97,99,95,96,99,98,98,96,98,99,99,97,95,95,100,98,100,98,97,98,98,98,98,97,94,99,99,100,99,100,98,98,96,95,100,100,98,96,100,99,95,99,100,100,100,97,100,98,100,99,99,100,96,100,99,99,96,98,96,100,96,95,99,99,100,100,97,98,100,97,99,100,96,96,98,99,99,100,99,100,97,100,98,100,100,99,94,98,98,99,100,99,100,100,97
81,78,82,76,80,80,83,80,83,86,79,73,83,81,78,81,85,74,77,80,84,85,82,69,79,86,79,82,88,88,80,83,82,79,92,79,90,87,80,80,77,79,87,92,86,86,91,86,81,86,84,89,73,88,89,91,93,82,87,90,85,88,84,81,90,89,89,91,83,83,80,76,89,87,88,89,85,86,84,94,85,91,93,90,87,93,91,89,88,90,83,85,82,85,77,86,92,79,94,87,76,84,79,90,85,79,85,90,81,82,79,89,88,86,90,94,92,96,86,91,91,84,87,84,83,92,88,94,89,91,83,89,88,90,90,92,91,96,90,79,94,87,92,95,82,89,89,90,92,91,89,85,91,92,92,90,90,83,92,84,88,93,94,99,88,89,89,86,97,95,92,93,92,87,95,92,93,92,85,90,92,87,90,93,92,95,93,95,90,93,90,88,91,87,95,91,91,95,95,88,83,96,93,92,93,88,95,93,92,95,94,93,93,91,94,92,88,88,91,92,95,91,89,90,93,91,90,93,85,93,97,91,92,94,96,89,91,93,95,92,92,89,87,95,94,92,95,92,93,87,96,96,91,87,97,90,93,90,90,93,96,89,96,95,90,89,84,84,94,93,92,95,92,90,86,93,94,97,95,99,93,96,92,94,94,90,84,95,93,93,97,98,92,94,94,93,97,89,93,95,93,92,95,99,91,92,95,89,93,95,95,94,90,77,90,93,94,92,91,90,91,91,86,93,97,90,98,93,93,94,93,94,95,93,93,97,97,94,89,94,93,95,93,97,94,96,98,94,92,95,97,93,92,91,96,83,99,94,89,93,92,90,82,92,85,97,91,91,93,89,87,93,92,93,96,97,96,94,94,94,93,91,90,97,88,94,95,94,95,95,95,92,88,87,87,96,94,96,94,90,88,92,94,97,96,95,94,95,94,96,96,88,94,93,95,95,91,98,96,89,92,90,96,87,88,92,96,94,97,94,95,92,95,89,90,97,94,96,96,91,86,78,83,90,95,99,98,95,96,84,90,96,96,96,96,93,90,89,91,91,95,91,92,84,96,97,93,84,92,93,93,99,99,95,93,91,90,97,94,96,93,98,88,93,97,92,88,89,80,91,92,90,98,93,83,91,86,93,91,93
85,83,87,81,86,79,85,87,75,77,75,80,80,74,75,84,81,78,77,73,80,85,84,89,88,92,93,93,96,90,90,86,97,91,79,96,98,94,95,90,88,95,96,97,92,96,98,96,96,95,90,94,98,96,98,99,96,99,92,96,97,96,98,96,96,97,95,96,98,98,94,97,97,85,97,98,93,99,90,80,94,94,96,97,97,98,97,97,96,96,90,98,97,91,96,95,96,99,97,99,92,97,97,97,93,96,96,99,93,89,96,96,96,100,97,97,94,100,92,93,94,89,92,97,96,95,94,89,97,93,97,95,92,97,96,95,94,96,98,97,97,98,94,96,88,92,97,89,94,97,98,97,91,96,94,94,99,93,91,97,93,98,100,96,98,91,97,99,95,96,94,91,98,98,100,98,88,96,93,96,99,97,89,98,97,95,99,96,88,94,98,95,98,92,97,99,96,94,96,95,97,87,96,95,98,99,91,96,92,95,97,96,96,96,95,94,98,96,97,97,96,95,97,98,91,92,89,99,92,93,94,98,96,95,95,98,97,97,98,98,94,91,96,98,98,99,98,94,97,97,96,96,99,99,94,94,98,97,100,98,93,99,93,98,97,97,98,96,93,96,96,98,96,95,96,96,98,92,93,96,100,94,97,96,99,95,96,96,97,96,99,96,98,98,97,99,99,98,97,96,96,95,96,95,98,98,95,97,94,92,95,96,99,96,97,96,92,94,93,95,96,95,99,98,98,95,95,98,99,96,95,99,94,97,99,100,94,95,99,98,99,98,96,97,97,96,100,99,94,97,92,95,99,98,94,95,97,98,98,91,97,97,98,97,98,92,98,98,97,99,100,93,99,94,100,99,100,95,95,98,99,98,98,96,93,98,99,93,99,96,98,98,99,94,99,99,100,99,94,99,97,100,99,98,99,99,97,98,97,98,96,97,100,97,98,99,97,96,99,99,100,98,98,97,99,99,98,94,99,97,97,100,100,97,100,99,99,97,94,96,98,98,96,100,97,98,97,98,99,99,98,98,98,99,99,100,95,96,100,98,98,100,97,100,98,98,94,98,99,98,98,99,98,99,100,96,96,98,97,99,98,97,96,97,95,99,98,98,97,100,98,99,99,93,93,99,99,99,98,98
71,78,83,84,79,78,83,79,82,82,78,84,73,85,79,84,88,89,91,86,78,84,82,94,90,98,85,96,91,97,94,94,89,93,98,95,91,89,95,95,97,98,96,90,91,92,97,99,95,96,98,94,96,93,94,97,99,98,93,93,99,98,94,92,95,92,95,96,97,92,92,93,96,92,97,96,96,98,96,94,96,94,97,93,97,99,92,92,96,96,95,94,97,95,98,99,98,97,95,94,95,97,95,98,95,98,97,93,96,99,97,95,96,96,97,98,97,95,97,97,91,97,97,98,99,94,93,99,94,93,96,94,98,96,98,95,97,94,94,96,93,97,98,94,96,99,93,99,96,97,99,98,96,100,99,97,97,99,97,98,99,98,97,98,98,96,98,93,92,97,100,99,95,97,97,97,97,99,100,98,95,95,99,97,100,98,100,98,97,96,97,99,98,98,93,96,99,96,96,99,96,96,98,99,98,97,95,92,99,99,100,97,99,98,100,99,93,100,100,97,98,96,96,92,96,100,98,98,98,95,99,95,99,100,98,99,98,94,99,100,95,97,97,93,98,98,99,99,98,97,99,96,93,98,98,98,97,99,99,99,98,93,99,94,97,95,94,98,99,99,100,98,100,98,99,97,98,99,99,96,99,99,99,99,99,97,98,97,97,96,99,98,96,99,100,95,99,96,100,98,98,99,98,99,98,96,98,99,98,99,97,96,100,100,97,99,97,97,97,98,99,99,100,99,97,100,96,98,97,100,96,99,100,99,99,100,99,97,99,99,98,99,98,97,99,100,97,97,99,99,99,99,98,99,98,99,100,99,99,100,98,100,98,100,99,100,98,99,97,99,100,99,98,99,94,99,99,96,98,100,99,99,96,98,96,99,98,99,95,97,99,98,99,100,97,99,100,99,99,99,100,94,100,98,100,99,100,99,100,98,100,94,98,99,100,99,99,100,100,100,99,100,99,100,99,98,98,99,100,99,98,96,99,99,100,100,99,100,99,97,95,99,96,99,96,97,97,99,100,100,100,100,97,99,97,100,99,100,97,93,99,98,99,99,99,95,98,99,99,99,100,99,97,98,97,100,98,98,98,96,100,99,96,100,99,100,99,98,100,100,100,100,98,99,98,99,99,100,100,99
90,75,80,78,71,82,82,80,78,76,79,80,84,83,82,76,86,79,76,73,83,81,85,86,85,88,83,78,87,87,90,92,89,94,88,92,86,96,95,94,97,85,88,85,93,85,94,89,94,95,84,90,93,92,93,96,97,99,96,83,99,97,93,93,95,96,97,91,84,94,95,96,96,99,97,98,98,97,91,98,93,93,95,95,98,96,100,91,96,100,92,95,93,96,92,94,95,99,97,94,95,96,91,95,98,98,94,94,92,94,93,99,97,99,91,96,92,92,96,99,97,91,97,97,94,96,99,91,99,87,94,95,93,99,88,99,97,95,96,94,98,96,95,98,94,98,92,98,99,88,97,94,95,95,96,94,96,95,99,97,97,89,93,89,96,97,96,92,93,95,97,99,94,96,98,99,95,93,95,99,94,98,98,95,96,97,99,98,95,100,96,96,92,96,94,94,97,99,97,100,99,99,95,96,98,97,99,96,96,96,98,98,98,95,92,96,100,98,99,96,97,98,98,96,95,96,98,97,98,94,96,96,93,93,98,98,92,98,100,96,96,97,90,96,99,94,98,100,99,98,95,99,99,100,96,99,98,95,97,99,99,91,96,96,100,95,99,89,99,98,100,94,96,95,96,95,99,97,97,98,97,96,92,94,97,100,96,100,98,99,90,94,94,97,97,93,95,94,99,96,97,97,94,87,100,98,99,94,97,95,95,98,96,96,96,93,96,96,91,96,96,99,99,91,91,97,95,100,98,89,91,95,96,98,97,95,91,99,98,96,96,99,99,99,99,96,95,97,97,98,96,99,98,96,93,96,97,96,97,98,98,91,97,94,97,99,99,91,95,94,97,99,96,97,98,99,89,98,97,99,96,98,97,96,95,98,97,95,99,99,98,96,99,96,94,97,97,96,100,100,100,98,96,97,95,90,95,95,97,100,95,98,95,96,99,98,99,99,100,99,98,96,97,99,97,94,100,96,100,96,100,99,95,97,95,98,91,91,98,97,99,98,95,99,97,97,99,95,98,94,96,98,97,98,95,95,98,100,96,95,99,94,99,99,99,96,98,99,100,96,99,99,96,97,100,95,97,98,93,98,96,85,95,97,97,96,90,98,95,98,98,97,95,99,97,98,98,94,97,99
